Date,Period,National Demand,Transmission Demand,Emb. Wind,Emb. Solar,Pump Storage,France Int.,BritNed Int.,Moyle Int.,East-West Int.
2013-01-01,1,15271.5,16385,481.5,0,563.5,738,496.5,-125.5,-125
2013-01-01,2,15555,16666.5,461,0,561.5,738,496.5,-125.5,-125
2013-01-01,3,15392,16501,461,0,559,738,496.5,-125.5,-125.5
2013-01-01,4,14834.5,15944,490.5,0,559.5,735,496.5,-125.5,-125
2013-01-01,5,14248.5,15357,490.5,0,556.5,738,496.5,-125.5,-125
2013-01-01,6,13934.5,15035.5,548,0,512,738,496.5,-125.5,-125
2013-01-01,7,13385.5,14356.5,548,0,418,738,256,-125.5,-125
2013-01-01,8,12832,13802,541.5,0,420,738,256.5,-125.5,-125
2013-01-01,9,12391.5,13395,541.5,0,456,738,95.5,-122.5,-125
2013-01-01,10,12164.5,13176,529.5,0,489,738,95.5,-102,-121.5
2013-01-01,11,12031.5,13065,529.5,0,552.5,737.5,186,-80.5,-101
2013-01-01,12,12003,13054,580.5,3.5,602.5,737.5,186,-75.5,-91
2013-01-01,13,12236,13303,580.5,4,654.5,737.5,147.5,-49.5,-63
2013-01-01,14,12307,13285,604,4,652,737.5,147.5,-49.5,-63
2013-01-01,15,12431.5,13025.5,604,4.5,476.5,493,135.5,-49.5,-63
2013-01-01,16,12339.5,12864,579,4.5,248.5,492.5,136,-49.5,-63
2013-01-01,17,12485.5,12975.5,579,4.5,249,493,312,-83,-98.5
2013-01-01,18,12908,13443,613.5,5,124,492.5,311.5,-100,-123
2013-01-01,19,13612.5,14145.5,613.5,29.5,9,737.5,413.5,-101,-123
2013-01-01,20,14252.5,14796.5,650.5,54.5,9,737.5,413.5,-112.5,-123
2013-01-01,21,14937,15486,650.5,84,7,737.5,291,-117,-125
2013-01-01,22,15493.5,16042.5,659.5,113.5,7,737.5,291.5,-117.5,-125
2013-01-01,23,16014,16569,659.5,133.5,5,737.5,405,-125,-125
2013-01-01,24,16377,16934,740.5,153,7,737.5,405,-125.5,-125
2013-01-01,25,16741.5,17297.5,740.5,158.5,7,737.5,496.5,-125.5,-125.5
2013-01-01,26,16911.5,17468.5,749,164.5,7,737.5,496.5,-125.5,-125
2013-01-01,27,16910.5,17467,749,146.5,6.5,737.5,447.5,-125.5,-125
2013-01-01,28,16942.5,17498.5,736,128.5,5.5,737.5,447,-125.5,-125
2013-01-01,29,17055.5,17612,736,106,5.5,738,422.5,-125.5,-125
2013-01-01,30,17082.5,17639.5,690.5,83.5,7,738,422.5,-125.5,-125
2013-01-01,31,17315.5,17874,690.5,54,8.5,737.5,423.5,-125.5,-125
2013-01-01,32,17802.5,18361.5,651,24.5,7,737.5,423.5,-125.5,-125
2013-01-01,33,19031.5,19591,651,12.5,5,737.5,443,-125.5,-125
2013-01-01,34,20247.5,20806.5,648.5,1,4.5,737.5,443.5,-125.5,-125.5
2013-01-01,35,20705.5,21264,648.5,0.5,8,737.5,496.5,-125.5,-125.5
2013-01-01,36,20717,21274.5,631.5,0.5,7,737.5,496.5,-125.5,-125.5
2013-01-01,37,20401.5,20959.5,631.5,0.5,7.5,737.5,496.5,-125.5,-125
2013-01-01,38,19941,20499,599,0.5,7.5,737.5,496.5,-125.5,-125
2013-01-01,39,19576,20133,599,0.5,5,737.5,496.5,-125.5,-125
2013-01-01,40,19047,19605,517.5,0.5,7,737.5,496.5,-125.5,-125
2013-01-01,41,18658.5,19215.5,517.5,0,6.5,737.5,496.5,-125.5,-125
2013-01-01,42,17970.5,18528.5,512.5,0,5.5,737.5,496.5,-125.5,-125.5
2013-01-01,43,17606,18158.5,512.5,0,0.5,737.5,496.5,-125.5,-125
2013-01-01,44,16834.5,17393.5,450.5,0,7,737.5,496.5,-125.5,-125
2013-01-01,45,16211.5,16773.5,450.5,0,10.5,738,324.5,-125.5,-125
2013-01-01,46,15621.5,16257,406,0,84.5,738,324.5,-125.5,-125
2013-01-01,47,14688.5,15709,406,0,469.5,737.5,496.5,-125.5,-125
2013-01-01,48,14201.5,15348,406,0,596.5,738,496.5,-125.5,-125
2013-01-02,1,14273,15402.5,406,0,580.5,738,496.5,-125.5,-124
2013-01-02,2,14446,15575,310,0,529,738,496.5,-125.5,-124
2013-01-02,3,14318.5,15465,310,0,597.5,738,496.5,-125.5,-124
2013-01-02,4,13966.5,15119,254.5,0,594.5,738,496.5,-125.5,-124
2013-01-02,5,13719,14936,254.5,0,668.5,738,496.5,-125.5,-124
2013-01-02,6,13688,14901,195,0,664,738,496.5,-125.5,-124
2013-01-02,7,13393.5,14597,195,0,654.5,738,400,-125.5,-124
2013-01-02,8,13098.5,14280.5,183,0,633,738,400,-125.5,-124
2013-01-02,9,12851,14058.5,183,0,658.5,738,236,-125.5,-124
2013-01-02,10,12830,14043,167,0,684.5,738,236,-112,-117.5
2013-01-02,11,13070.5,14148,167,0,606,738,156.5,-80.5,-91.5
2013-01-02,12,13530,14575,190.5,0,584.5,737.5,156.5,-74.5,-87
2013-01-02,13,14786.5,15364,190.5,0,164.5,738,164,-49.5,-63.5
2013-01-02,14,15895,16331,255.5,0,24,738,164,-49.5,-63.5
2013-01-02,15,17184.5,17972.5,255.5,0,8,737.5,-346,-49.5,-63
2013-01-02,16,18009,18802,285.5,0,7.5,737.5,-356.5,-54,-65
2013-01-02,17,18845,19480.5,285.5,1.5,6,738,-127.5,-94.5,-100.5
2013-01-02,18,19644,20308.5,340,3,6,738,-128,-102,-123.5
2013-01-02,19,20413,20962.5,340,10,6,737.5,232.5,-117,-125
2013-01-02,20,20895.5,21453,375.5,17.5,8,737.5,232,-125,-125
2013-01-02,21,21327,21884,375.5,25.5,8,738,322.5,-125.5,-125
2013-01-02,22,21616.5,22174,422.5,33.5,7,738,322.5,-125.5,-125
2013-01-02,23,21953.5,22510,422.5,37.5,7,738,473.5,-125.5,-125
2013-01-02,24,22160,22717,395.5,41.5,7,738,473.5,-125.5,-125
2013-01-02,25,22329,22886,395.5,42,7,738,484,-125.5,-125
2013-01-02,26,22347,22903,421.5,43,6,738,484,-125.5,-125
2013-01-02,27,22299,22857,421.5,39.5,5,738,497,-125.5,-125
2013-01-02,28,22254.5,22812.5,494.5,36.5,7,738,497,-125.5,-125
