Date,Period,SSP,SBP
2013-01-01,1,39.39,53
2013-01-01,2,39.43,53.30217
2013-01-01,3,38.94,52.60737
2013-01-01,4,32,38.26
2013-01-01,5,29.26566,36.85
2013-01-01,6,27.82539,36.75
2013-01-01,7,40.22,50.94989
2013-01-01,8,32.63,50
2013-01-01,9,28.25,50
2013-01-01,10,33.54727,33.54727
2013-01-01,11,26.48412,26.48412
2013-01-01,12,27.24465,27.24465
2013-01-01,13,27.77261,27.77261
2013-01-01,14,26.00648,26.00648
2013-01-01,15,2.56307,26.05
2013-01-01,16,0.3246,26.01
2013-01-01,17,0.0501,24.98
2013-01-01,18,1.63312,25.75
2013-01-01,19,6.15125,30.1
2013-01-01,20,17.69606,30.6
2013-01-01,21,28.1382,32.25
2013-01-01,22,29.5385,33.09
2013-01-01,23,29.53155,41.13
2013-01-01,24,30.76412,42.65
2013-01-01,25,31.0322,43.13
2013-01-01,26,30.78395,43.28
2013-01-01,27,30.27611,43.91
2013-01-01,28,30.39148,43.58
2013-01-01,29,31.01805,42.22
2013-01-01,30,30.08458,42.39
2013-01-01,31,31.27457,41.7
2013-01-01,32,31.31436,42.09
2013-01-01,33,33.57726,45.54
2013-01-01,34,53.35,102.16676
2013-01-01,35,72.25,105.15365
2013-01-01,36,66.2,104.98604
2013-01-01,37,54.4,94.33573
2013-01-01,38,49.69,58.61358
2013-01-01,39,43.12,59.50272
2013-01-01,40,41.82,57.31351
2013-01-01,41,41.53,57.04573
2013-01-01,42,41.18,53.90072
2013-01-01,43,39.38,72.47267
2013-01-01,44,38.71,52.69977
2013-01-01,45,38.47,52
2013-01-01,46,29.54364,36.64
2013-01-01,47,27.57838,33.77
2013-01-01,48,26.38954,33.67
2013-01-02,1,26.83159,34.56
2013-01-02,2,28.548,34.6
2013-01-02,3,27.77341,34.44
2013-01-02,4,27.25956,34.36
2013-01-02,5,27.39126,32.82
2013-01-02,6,27.36771,32.69
2013-01-02,7,28.49084,31.49
2013-01-02,8,27.07081,29.89
2013-01-02,9,26.66745,29.98
2013-01-02,10,26.76887,30.25
2013-01-02,11,26.65193,31.32
2013-01-02,12,27.20389,31.58
2013-01-02,13,30.70731,41.65
2013-01-02,14,31.47643,41
2013-01-02,15,33.09121,43.78
2013-01-02,16,34.15021,43.64
2013-01-02,17,34.04543,47.3
2013-01-02,18,33.8988,47.94
2013-01-02,19,32.9268,44.27
2013-01-02,20,33.8605,45.03
2013-01-02,21,35.92584,47.21
2013-01-02,22,35.94172,50.55
2013-01-02,23,36.55244,49.81
2013-01-02,24,36.67321,49.66
2013-01-02,25,36.39949,49.71
2013-01-02,26,37.10247,49.2
2013-01-02,27,37.94787,47.07
2013-01-02,28,36.26599,46.95
2013-01-02,29,46.68,50
2013-01-02,30,38.11077,44.46
2013-01-02,31,37.45993,52.8
2013-01-02,32,37.76873,53.64
2013-01-02,33,37.66677,55.76
2013-01-02,34,38.35484,65.05
2013-01-02,35,38.42774,70.59
2013-01-02,36,38.04514,72.15
2013-01-02,37,37.55692,64.63
2013-01-02,38,36.84351,64.03
