year,quarter,ccgt,coal,ocgt,wind,solar,biomass,hydro
2006,1,38.37934389,21.64796967,46.50578378,0,0,0,42.54
2006,2,27.51522779,22.40618366,33.15172973,0,0,0,42.54
2006,3,28.37054881,22.27841056,34.20308108,0,0,0,42.54
2006,4,36.17617766,22.51851165,43.79767568,0,0,0,42.54
2007,1,37.39872603,23.14780282,46.32791892,0,0,0,49.28
2007,2,25.33536986,23.30126761,31.09548649,0,0,0,49.28
2007,3,27.08408562,24.13727042,33.30359459,0,0,0,49.28
2007,4,34.69538699,26.9168,42.91440541,0,0,0,49.28
2008,1,40.14130238,32.85822029,50.03765418,0,0,49.87,52.95
2008,2,36.54545923,35.94341368,45.44663713,0,0,49.62,52.95
2008,3,38.03083749,38.05153868,47.34310387,0,0,49.37,52.95
2008,4,48.0069499,34.74786435,60.08017279,0,0,49.12,52.95
2009,1,46.42029779,34.43123467,57.24583484,0,0,49.3,54.37
2009,2,36.00716437,30.0557748,44.11965801,0,0,49.05,54.37
2009,3,31.78895369,30.27639632,38.80243243,0,0,48.8,54.37
2009,4,33.31554031,31.87853122,40.72675676,0,0,48.55,54.37
2010,1,37.897801,34.94158858,46.81573943,66.8258589,224.136,48.73,52.36
2010,2,34.91710803,34.56874965,43.01817547,66.89243264,224.536,48.10857143,52.36
2010,3,36.57269913,35.47319379,45.12748802,68.02733469,224.936,47.48714286,52.36
2010,4,42.85480792,38.16635986,53.1312342,69.14849539,225.336,46.86571429,52.36
2011,1,46.17978096,43.28048726,58.31321993,66.43464193,225.124,46.67428571,51.34
2011,2,47.2829637,44.81815738,59.74825197,68.76380607,223.524,46.05285714,51.34
2011,3,45.17531736,43.77481658,57.00660282,71.16349471,191.004,45.43142857,51.34
2011,4,49.99135608,43.4591263,63.27135806,68.59908032,191.004,44.81,51.34
2012,1,52.73280154,41.25290503,65.52464953,55.24758488,185.962,44.61857143,42.27
2012,2,51.57365161,38.9522067,64.04595016,60.39284009,92.322,43.99714286,42.27
2012,3,51.13755963,38.65235754,63.48963823,59.20869666,82.022,43.37571429,42.27
2012,4,56.13992989,37.74237989,69.87104029,60.31827227,78.934,42.75428571,42.27
2013,1,60.26569198,40.35948937,75.4258807,62.75157009,80.116,43.29385714,44.38
2013,2,54.41606732,39.79363926,67.89093174,63.93190288,79.756,42.67242857,44.38
2013,3,55.13223069,38.20896924,68.81342759,65.67343048,78.188,42.051,44.38
2013,4,58.92681624,39.64062192,73.701264,62.75680824,78.188,41.42957143,44.38
2014,1,57.55156937,39.59152453,71.09486749,60.91251187,75.492,41.36714286,42.72
2014,2,46.39023725,38.48914437,56.86567732,60.68792023,74.092,40.74571429,42.72
2014,3,44.191757,38.29307135,54.06291211,62.98830796,73.792,40.12428571,42.72
2014,4,52.66185578,38.60248049,64.86114343,64.30857752,73.792,39.50285714,42.72
2015,1,47.21014702,36.30047231,58.92905559,62.8281764,72.23,38.45142857,43.65
2015,2,42.62639122,34.65047231,52.98256159,64.35187487,70.57,37.83,43.65
2015,3,41.08784932,34.41604723,50.98661534,65.73091615,67.106,37.20857143,43.65
2015,4,38.13052826,33.38364633,47.15009072,66.44255075,65.642,36.58714286,43.65
2016,1,36.17120321,36.99494565,45.00752954,66.2890388,62.914,36.82571429,44.33
2016,2,33.69219847,32.62475686,41.72921327,65.45176148,39.166,36.20428571,44.33
2016,3,33.78730202,38.34476259,41.85498129,67.04131471,38.83,35.58285714,44.33
2016,4,40.42723406,47.68523455,50.63584278,65.74691987,38.474,34.96142857,44.33
2017,1,42.46838044,46.70217154,53.11651091,71.06105987,41.23,34.34,49.87
2017,2,39.24990806,43.93489673,48.88117523,71.97815166,41.218,33.71857143,49.87
2017,3,40.08966448,47.68743259,49.98624928,72.99304008,40.95,33.09714286,49.87
2017,4,43.93415349,48.76182157,55.04538901,74.73705792,40.71,32.47571429,49.87
2018,1,45.83524156,45.38592286,57.85769828,73.33494213,40.14,31.85428571,50
2018,2,48.09756818,46.17806286,60.85375245,75.22931985,40.288,31.23285714,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
