Date,Period,Day-Ahead Price
2013-01-01,0,37.08
2013-01-01,1,37.08
2013-01-01,2,37.76
2013-01-01,3,37.76
2013-01-01,4,30.01
2013-01-01,5,30.01
2013-01-01,6,21.98
2013-01-01,7,21.98
2013-01-01,8,18.06
2013-01-01,9,18.06
2013-01-01,10,18.06
2013-01-01,11,18.06
2013-01-01,12,22.09
2013-01-01,13,22.09
2013-01-01,14,22.09
2013-01-01,15,22.09
2013-01-01,16,26.08
2013-01-01,17,26.08
2013-01-01,18,30.08
2013-01-01,19,30.08
2013-01-01,20,33.18
2013-01-01,21,33.18
2013-01-01,22,43.19
2013-01-01,23,43.19
2013-01-01,24,50.4
2013-01-01,25,50.4
2013-01-01,26,50.19
2013-01-01,27,50.19
2013-01-01,28,44.92
2013-01-01,29,44.92
2013-01-01,30,48.02
2013-01-01,31,48.02
2013-01-01,32,54.95
2013-01-01,33,54.95
2013-01-01,34,85.83
2013-01-01,35,85.83
2013-01-01,36,50.8
2013-01-01,37,50.8
2013-01-01,38,44.79
2013-01-01,39,44.79
2013-01-01,40,44.7
2013-01-01,41,44.7
2013-01-01,42,43.05
2013-01-01,43,43.05
2013-01-01,44,31.6
2013-01-01,45,31.6
2013-01-01,46,37.53
2013-01-01,47,37.53
2013-01-02,0,34.96
2013-01-02,1,34.96
2013-01-02,2,31.31
2013-01-02,3,31.31
2013-01-02,4,28.91
2013-01-02,5,28.91
2013-01-02,6,28.03
2013-01-02,7,28.03
2013-01-02,8,25.81
2013-01-02,9,25.81
2013-01-02,10,30.08
2013-01-02,11,30.08
2013-01-02,12,55.01
2013-01-02,13,55.01
2013-01-02,14,39.09
2013-01-02,15,39.09
2013-01-02,16,44.08
2013-01-02,17,44.08
2013-01-02,18,46.97
2013-01-02,19,46.97
2013-01-02,20,53.37
2013-01-02,21,53.37
2013-01-02,22,55.06
2013-01-02,23,55.06
2013-01-02,24,55.01
2013-01-02,25,55.01
2013-01-02,26,50.06
2013-01-02,27,50.06
2013-01-02,28,48.06
2013-01-02,29,48.06
2013-01-02,30,42.4
2013-01-02,31,42.4
2013-01-02,32,73.11
2013-01-02,33,73.11
2013-01-02,34,125
2013-01-02,35,125
2013-01-02,36,54.43
2013-01-02,37,54.43
2013-01-02,38,59.01
2013-01-02,39,59.01
2013-01-02,40,50.03
2013-01-02,41,50.03
2013-01-02,42,43.07
2013-01-02,43,43.07
2013-01-02,44,34.96
2013-01-02,45,34.96
2013-01-02,46,38.02
2013-01-02,47,38.02
2013-01-03,0,34.06
2013-01-03,1,34.06
2013-01-03,2,30.54
2013-01-03,3,30.54
2013-01-03,4,28.85
2013-01-03,5,28.85
2013-01-03,6,27.67
2013-01-03,7,27.67
2013-01-03,8,26.52
2013-01-03,9,26.52
2013-01-03,10,29.56
2013-01-03,11,29.56
2013-01-03,12,42.99
2013-01-03,13,42.99
2013-01-03,14,48.4
2013-01-03,15,48.4
2013-01-03,16,42
2013-01-03,17,42
2013-01-03,18,42.81
2013-01-03,19,42.81
2013-01-03,20,47.49
2013-01-03,21,47.49
2013-01-03,22,48.76
2013-01-03,23,48.76
2013-01-03,24,50
2013-01-03,25,50
2013-01-03,26,51.01
2013-01-03,27,51.01
2013-01-03,28,44.92
2013-01-03,29,44.92
2013-01-03,30,41.99
